GICS Econ Sect (Descr),GICS Ind Group (Descr),GICS Industry (Descr),Company Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Consumer Discretionary,Consumer Services,Diversified Consumer Services,BROADVIEW INSTITUTE INC,0.178,-1.264,0.092,-0.128,0.113,-0.308,0.099,1.724,0.25,3.247,-1.064,-1.985,3.798,-1.482,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,BROOKFIELD RESIDENTIAL PPTYS,5.196,-7.149,35.147,182.703,-31.875,11.68,-111.602,-77.677,-9.132,0,0,-2.183,47.664,269.909,-129.256
Consumer Discretionary,Retailing,Specialty Retail,BROOKSTONE INC,4.008,-6.469,25.216,15.594,16.467,-9.879,-4.588,-0.881,-48.327,9.272,0.295,-2.046,1.563,,
Consumer Discretionary,Retailing,Specialty Retail,BROWN SHOE CO INC,16.333,-27.779,9.409,23.536,23.791,-45.16,19.373,6.14,27.099,38.933,0.715,-78.866,20.541,14.323,-15.143
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,BROWNIE'S MARINE GROUP INC,-0.212,0.188,-0.206,-0.007,0.002,0.028,0.178,-0.066,-0.139,,0.001,0.023,0.042,0.001,-0.051
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,BRUNSWICK CORP,24.4,-16.7,242.9,-5.5,153.9,-12.1,-204.3,48,-13.9,209.1,24.8,-213.2,-53.9,72.2,196.2
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BUCA INC,7.523,3.195,-9.036,-0.394,1.3,-0.625,0.146,-0.497,,,,,,,
Consumer Discretionary,Retailing,Specialty Retail,BUCKLE INC,31.95,32.76,-8.939,27,53.921,7.242,12.314,28.541,98.17,-27.123,-18.87,50.041,-48.903,47.26,-31.16
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BUFFALO WILD WINGS INC,,2.75,-2.736,44.886,-36.981,-8.571,7.77,-10.235,6.826,1.233,5.729,5.221,0.81,36.162,35.827
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",BUFFETS HOLDINGS INC,-56.564,11.859,,7.443,10.217,-5.41,-0.443,-15.549,64.001,,,,,,
Consumer Discretionary,Retailing,Specialty Retail,BUILD-A-BEAR WORKSHOP INC,,,-1.689,4.735,46.726,23.623,-37.841,13.152,-19.261,13.399,-1.644,-12.388,-1.196,-0.506,20.724
Consumer Discretionary,Retailing,Specialty Retail,BURLINGTON COAT FACTORY INVS,-50.411,51.567,-92.244,1.913,18.136,10.423,-24.498,6.223,-14.291,,5.464,5.45,7.672,86.124,
Consumer Discretionary,Retailing,Specialty Retail,CABELAS INC,,,68.881,13.945,55.603,-37.011,85.98,-41.721,278.922,172.081,-445.766,168.26,-15.929,-89.678,-56.314
Consumer Discretionary,Media,Media,CABLEVISION SYS CORP  -CL A,-24.725,70.05,17.95,201.022,539.854,-373.983,151.366,-163.739,-37.907,31.993,148.919,297.956,-247.444,369.614,148.189
Consumer Discretionary,Retailing,Specialty Retail,CACHE INC,-3.1,5.353,-1.814,6.6,-0.039,-0.095,2.61,-12.12,-2.408,0.681,-0.907,17.9,-10.149,-7.847,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CAESARS ENTERTAINMENT CORP,65.621,62.268,59.283,13.577,91.018,235.4,75.2,-89.6,-59.5,267.6,68.9,-82.4,866.3,1013.7,35
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CALA CORP,-0.096,,-0.015,0,0,0.062,-0.026,-0.023,-0.013,0,0,0,,,
Consumer Discretionary,Consumer Durables & Apparel,Household Durables,CALIFORNIA COASTAL CMNTYS,1.1,1.8,0.5,5.5,-5.7,-1.3,2.9,13.7,-22,6.6,,,,,
Consumer Discretionary,Retailing,Distributors,CALIFORNIA GRAPES INTL INC,,,-0.006,0,0.004,-0.003,,0,0.02,0.022,0,0.003,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CALIFORNIA PIZZA KITCHEN INC,6.791,7.139,11.473,-15.384,1.842,-6.447,-3.085,2.608,3.597,7.032,-0.194,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CALL NOW INC,-0.789,-0.107,1.244,-1.236,-0.057,0.025,0.091,0.096,-0.142,-0.071,0.172,,,,
Consumer Discretionary,Consumer Durables & Apparel,Leisure Products,CALLAWAY GOLF CO,-10.006,-18.333,24.189,-61.112,-15.683,17.824,-3.119,3.513,-11.538,39.977,-23.271,-12.02,8.98,-15.21,0.842
Consumer Discretionary,Retailing,Specialty Retail,CALLOWAY'S NURSERY INC,0.351,-0.134,2.196,-1.745,-0.176,1.286,-1.095,-0.76,-1.276,0.478,0.056,0.999,0.704,-0.281,
Consumer Discretionary,Consumer Services,Diversified Consumer Services,CAMBIUM LEARNING GROUP INC,,,,,,,,1.206,1.212,10.927,-1.514,51.36,-11.287,16.089,-33.606
Consumer Discretionary,Media,Media,CAMELOT ENTERTAINMENT GROUP,-0.015,0.009,-0.011,0,0,0.002,0.433,-0.435,0,0.056,,,,,
Consumer Discretionary,Consumer Services,"Hotels, Restaurants & Leisure",CANTERBURY PARK HOLDING CORP,-0.151,1.89,0.32,0.87,1.655,0.736,0.906,1.305,-3.305,0.996,0.71,2.817,1.116,-0.646,0.023
