Industry,Company,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013
Media,SIRIUS XM HOLDINGS INC,0.348,0.5,0.357,0.396,0.5,0.12,0.335,0.52,0.644,0.776,0.434,0.424,0.436,0.402,0.269,0.407
Media,SIZMEK INC,0.381,0.244,0.154,0.071,0.103,0.061,0.171,0.215,0.113,0.177,0.365,0.214,0,0.457,0.542,0
Media,SPANISH BROADCASTING SYS INC,0.487,0.472,0.48,0.468,0.517,0.539,0.45,0.418,0.361,0.364,0.685,0.693,0.659,0.633,0.597,0.601
Media,SPAR GROUP INC,0.077,0.302,0.206,0.324,0.138,0.147,0.313,0.193,0.294,0.307,0.28,0.286,0.276,0.185,0.091,0.161
Media,STARZ,0.142,0.056,0.117,0.149,0.125,0.178,0.171,0.185,0.095,0.171,0.366,0.373,0.249,0.168,0.248,0.731
Media,TECHNICOLOR  -ADR,0.214,0.073,0.157,0.116,0.174,0.229,0.303,0.262,0.329,0.269,0.516,0.635,0.337,0.388,0.344,0.345
Media,THOMSON-REUTERS CORP,0.21,0.188,0.182,0.258,0.222,0.228,0.22,0.22,0.212,0.213,0.209,0.22,0.212,0.234,0.222,0.249
Media,TIME WARNER INC,0.168,0.065,0.153,0.11,0.238,0.224,0.194,0.166,0.268,0.28,0.351,0.235,0.249,0.288,0.291,0.297
Media,TIX CORP,0.335,0.433,0.5,0.657,0.976,1.224,2.099,1.583,0.074,0.003,0.004,0.003,0,0.09,0.059,0.551
Media,TWENTY-FIRST CENTURY FOX INC,0.296,0.295,0.281,0.264,0.24,0.214,0.197,0.201,0.202,0.201,0.217,0.269,0.245,0.25,0.273,0.323
Media,UNIVISION COMMUNICATIONS INC,0.476,0.359,0.412,0.554,0.423,0.18,0.15,0.189,0.143,0.609,0.943,0.975,0.892,0.906,0.897,0.91
Media,UTD ARTISTS THEATRE CIRCUIT,0.663,0.836,0.014,0.617,0.636,0.033,0.031,0.015,0.014,0.016,0.015,0.014,0.013,0.011,0.01,0.006
Media,WILEY (JOHN) and SONS  -CL A,0.236,0.22,0.162,0.296,0.246,0.197,0.19,0.156,0.395,0.325,0.37,0.28,0.187,0.188,0.24,0.227
Media,WOLTERS KLUWER NV  -ADR,0.489,0.434,0.413,0.469,0.477,0.5,0.51,0.404,0.385,0.37,0.407,0.399,0.384,0.374,0.368,0.417
Media,WORLD WRESTLING ENTMT INC,0.098,0.034,0.024,0.02,0.023,0.019,0.018,0.015,0.015,0.012,0.011,0.009,0.007,0.004,0,0.078
Media,WPP PLC  -ADR,0.118,0.161,0.12,0.156,0.161,0.162,0.169,0.133,0.169,0.193,0.231,0.193,0.158,0.179,0.192,0.178
